feature,success_mean,failure_mean,diff,weight
offTarget,0.6839,0.1690,0.5149,0.100
terminal3DG,0.6131,0.1257,0.4874,0.050
tmRev,0.7771,0.9626,-0.1855,0.050
tmFwd,0.7771,0.9626,-0.1855,0.020
gcFwd,0.9540,0.9754,-0.0215,0.060
gcRev,0.9540,0.9754,-0.0215,0.040
hairpinRev,0.9850,0.9669,0.0182,0.050
hairpinFwd,0.9850,0.9669,0.0182,0.020
lengthFwd,0.9811,0.9952,-0.0141,0.010
lengthRev,0.9811,0.9952,-0.0141,0.010
homopolymerFwd,0.8192,0.8125,0.0067,0.020
homopolymerRev,0.8192,0.8125,0.0067,0.020
gcClampFwd,0.9811,0.9845,-0.0034,0.030
gcClampRev,0.9811,0.9845,-0.0034,0.030
tmDiff,0.9000,0.9000,0.0000,0.030
ampliconLength,0.9000,0.9000,0.0000,0.020
ampliconStructure,0.9000,0.9000,0.0000,0.020
lengthDiff,0.9000,0.9000,0.0000,0.010
distanceToROI,0.9000,0.9000,0.0000,0.010
heterodimer,0.8000,0.8000,-0.0000,0.100
terminalBaseFwd,0.8000,0.8000,-0.0000,0.010
terminalBaseRev,0.8000,0.8000,-0.0000,0.010
selfDimerFwd,1.0000,1.0000,0.0000,0.040
selfDimerRev,1.0000,1.0000,0.0000,0.040